0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Year
73,Max Christie,22,DAL,SG,40,31,1164,12.9,.656,.613,.206,0.8,11.6,6.4,10.4,0.8,1.0,10.1,15.8,1.6,1.1,2.7,.110,0.4,0.1,0.5,0.7,,2026
74,Alperen Şengün,23,HOU,C,34,34,1164,22.1,.567,.133,.355,9.4,20.6,15.1,29.0,2.1,2.7,14.9,27.1,2.3,1.8,4.1,.170,3.4,1.8,5.2,2.1,,2026
75,Saddiq Bey,26,NOP,SF,39,31,1163,16.0,.561,.418,.317,5.6,15.1,10.2,10.7,1.5,0.2,4.5,19.8,2.0,0.4,2.4,.100,1.5,-1.9,-0.5,0.4,,2026
76,Myles Turner,29,MIL,C,41,41,1161,13.7,.576,.610,.287,4.7,16.6,10.7,7.8,1.1,5.0,8.6,18.2,0.9,1.2,2.1,.086,-0.6,-0.2,-0.8,0.3,,2026
77,Duncan Robinson,31,DET,SF,40,40,1157,11.8,.618,.786,.160,1.4,9.0,5.3,8.8,1.2,1.2,6.6,15.0,1.8,1.4,3.2,.134,0.3,0.1,0.4,0.7,,2026
78,Ivica Zubac,28,LAC,C,37,36,1155,19.0,.628,.000,.279,13.5,26.7,20.3,12.3,0.6,2.8,14.4,19.5,2.2,1.1,3.2,.135,0.9,-1.0,-0.1,0.5,,2026
79,Naz Reid,26,MIN,C,44,2,1153,16.8,.593,.544,.136,5.0,20.8,13.0,13.4,1.6,2.8,11.1,22.1,1.3,1.7,3.0,.126,1.2,0.8,2.0,1.2,,2026
80,Jake LaRavia,24,LAL,PF,42,21,1148,12.5,.576,.469,.267,6.7,11.1,9.0,10.1,2.3,1.2,11.5,14.8,1.2,0.9,2.1,.089,-1.0,0.0,-1.0,0.3,,2026
81,Santi Aldama,25,MEM,PF,41,9,1147,16.3,.572,.423,.236,5.9,19.3,12.7,16.1,1.5,2.4,9.6,19.9,1.3,1.5,2.8,.118,1.2,0.9,2.1,1.2,,2026
82,Cason Wallace,22,OKC,SG,43,34,1140,10.7,.526,.568,.098,3.5,8.8,6.3,9.9,3.8,0.9,11.8,12.9,0.2,2.5,2.7,.112,-2.7,3.4,0.7,0.8,,2026
83,Jaylen Wells,22,MEM,SG,42,42,1136,10.1,.528,.520,.256,3.7,9.9,6.8,8.8,1.5,0.2,8.7,18.8,0.1,1.0,1.2,.049,-2.8,-0.6,-3.4,-0.4,,2026
84,De'Aaron Fox,28,SAS,PG,35,35,1136,17.9,.574,.376,.257,2.4,11.3,6.9,28.5,1.9,0.7,12.4,26.0,1.5,1.4,3.0,.126,1.8,0.5,2.3,1.2,,2026
85,Chet Holmgren,23,OKC,PF,39,39,1135,21.5,.662,.310,.334,7.1,23.7,15.8,8.1,1.0,6.7,11.3,22.5,2.4,2.7,5.1,.215,2.1,1.7,3.8,1.7,,2026
86,Ajay Mitchell,23,OKC,SG,43,9,1129,17.2,.590,.300,.287,2.9,11.1,7.2,19.5,2.6,1.2,11.7,22.3,1.6,2.2,3.8,.162,0.4,1.7,2.1,1.1,,2026
87,Jaime Jaquez Jr.,24,MIA,SF,39,1,1125,15.7,.575,.144,.277,4.7,14.2,9.4,23.9,1.3,0.6,14.1,22.3,1.0,1.2,2.2,.094,-0.1,0.3,0.2,0.6,,2026
88,Michael Porter Jr.,27,BRK,SF,34,34,1120,21.2,.616,.509,.226,4.4,22.5,13.0,18.7,1.6,0.6,11.1,30.5,1.6,0.9,2.5,.106,5.0,-1.0,4.1,1.7,,2026
89,Andrew Nembhard,26,IND,PG,35,35,1117,15.5,.560,.370,.307,1.4,7.8,4.5,35.6,1.4,0.4,13.1,23.6,1.2,0.6,1.8,.078,0.8,-1.9,-1.1,0.3,,2026
90,Sion James,23,CHO,SG,44,18,1112,8.3,.550,.593,.310,2.7,12.4,7.7,10.2,1.2,1.4,12.2,10.6,0.8,0.7,1.5,.067,-3.1,0.4,-2.7,-0.2,,2026
91,OG Anunoby,28,NYK,PF,34,34,1111,14.2,.578,.465,.318,4.6,14.0,9.2,9.4,2.5,2.2,13.5,19.9,0.8,1.3,2.1,.092,-0.6,0.4,-0.2,0.5,,2026
92,Bam Adebayo,28,MIA,C,36,36,1107,16.6,.544,.304,.300,6.3,26.0,16.1,13.1,1.4,2.2,10.0,23.2,0.6,1.7,2.3,.101,0.5,0.8,1.2,0.9,,2026
93,Stephen Curry,37,GSW,PG,35,35,1106,22.6,.634,.602,.266,1.5,11.6,6.5,28.0,1.7,1.2,11.6,32.3,2.7,1.1,3.8,.164,6.3,-0.9,5.4,2.1,,2026
