0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Year
16T,Buck Williams,25,NJN,0,2,780,0.003,82,37.4,15.9,12.0,1.6,0.9,1.2,.523,.000,.676,6.8,.106,1986
18,Dennis Johnson,31,BOS,0,1,780,0.001,78,35.0,15.6,3.4,5.8,1.4,0.4,.455,.143,.818,6.7,.118,1986
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1987
1,Magic Johnson,27,LAL,65,733,780,0.940,80,36.3,23.9,6.3,12.2,1.7,0.5,.522,.205,.848,15.9,.263,1987
2,Michael Jordan,23,CHI,10,449,780,0.576,82,40.0,37.1,5.2,4.6,2.9,1.5,.482,.182,.857,16.9,.247,1987
3,Larry Bird,30,BOS,1,271,780,0.347,74,40.6,28.1,9.2,7.6,1.8,0.9,.525,.400,.910,15.2,.243,1987
4,Kevin McHale,29,BOS,0,254,780,0.326,77,39.7,26.1,9.9,2.6,0.5,2.2,.604,.000,.836,14.8,.232,1987
5,Dominique Wilkins,27,ATL,0,128,780,0.164,79,37.6,29.0,6.3,3.3,1.5,0.6,.463,.292,.818,12.2,.197,1987
6,Charles Barkley,23,PHI,1,113,780,0.145,68,40.3,23.0,14.6,4.9,1.8,1.5,.594,.202,.761,12.0,.210,1987
7,Hakeem Olajuwon,24,HOU,1,28,780,0.036,75,36.8,23.4,11.4,2.9,1.9,3.4,.508,.200,.702,10.9,.189,1987
8,Isiah Thomas,25,DET,0,17,780,0.022,81,37.2,20.6,3.9,10.0,1.9,0.2,.463,.194,.768,7.6,.121,1987
9,Fat Lever,26,DEN,0,11,780,0.014,82,37.2,18.9,8.9,8.0,2.5,0.4,.469,.239,.782,9.7,.153,1987
10,Moses Malone,31,WSB,0,9,780,0.012,73,34.1,24.1,11.3,1.6,0.8,1.3,.454,.000,.824,9.4,.182,1987
11,Steve Johnson,29,POR,0,4,780,0.005,79,29.7,16.8,7.2,2.0,0.6,1.0,.556,,.698,4.4,.091,1987
12T,Karl Malone,23,UTA,0,3,780,0.004,82,34.8,21.7,10.4,1.9,1.3,0.7,.512,.000,.598,6.9,.116,1987
12T,Robert Parish,33,BOS,0,3,780,0.004,80,37.4,17.5,10.6,2.2,0.8,1.8,.556,.000,.735,9.2,.147,1987
14,Alex English,33,DEN,0,2,780,0.003,82,37.6,28.6,4.2,5.1,0.9,0.3,.503,.267,.844,8.1,.126,1987
15T,Mark Aguirre,27,DAL,0,1,780,0.001,80,33.3,25.7,5.3,3.2,1.1,0.4,.495,.353,.770,8.9,.160,1987
15T,Rolando Blackman,27,DAL,0,1,780,0.001,80,34.5,21.0,3.5,3.3,0.8,0.3,.495,.333,.884,8.0,.140,1987
15T,Joe Barry Carroll,28,GSW,0,1,780,0.001,81,33.6,21.2,7.3,2.6,1.1,1.5,.472,,.787,4.6,.082,1987
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1988
1,Michael Jordan,24,CHI,47,665,800,0.831,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308,1988
2,Larry Bird,31,BOS,16,527,800,0.659,76,39.0,29.9,9.3,6.1,1.6,0.8,.527,.414,.916,15.0,.243,1988
3,Magic Johnson,28,LAL,16,508,800,0.635,72,36.6,19.6,6.2,11.9,1.6,0.2,.492,.196,.853,10.9,.199,1988
4,Charles Barkley,24,PHI,1,109,800,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,.587,.280,.751,16.7,.253,1988
5,Clyde Drexler,25,POR,0,86,800,0.108,81,37.8,27.0,6.6,5.8,2.5,0.6,.506,.212,.811,13.2,.207,1988
6,Dominique Wilkins,28,ATL,0,55,800,0.069,78,37.8,30.7,6.4,2.9,1.3,0.6,.464,.295,.826,9.8,.160,1988
7,Hakeem Olajuwon,25,HOU,0,40,800,0.050,79,35.8,22.8,12.1,2.1,2.1,2.7,.514,.000,.695,10.7,.182,1988
8,Karl Malone,24,UTA,0,36,800,0.045,82,39.0,27.7,12.0,2.4,1.4,0.6,.520,.000,.700,10.1,.152,1988
9,Fat Lever,27,DEN,0,26,800,0.033,82,37.3,18.9,8.1,7.8,2.7,0.3,.473,.211,.785,10.4,.163,1988
10,John Stockton,25,UTA,0,15,800,0.019,82,34.7,14.7,2.9,13.8,3.0,0.2,.574,.358,.840,14.1,.238,1988
11,Alex English,34,DEN,0,4,800,0.005,80,35.2,25.0,4.7,4.7,0.9,0.3,.495,.000,.828,7.6,.129,1988
12,Isiah Thomas,26,DET,0,3,800,0.004,81,36.1,19.5,3.4,8.4,1.7,0.2,.463,.309,.774,7.6,.124,1988
13,Mark Jackson,22,NYK,0,2,800,0.003,82,39.6,13.6,4.8,10.6,2.5,0.1,.432,.254,.774,7.6,.113,1988
