0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Year
335,Thomas Bryant,28,CLE,C,56,0,11.6,2.2,4.4,.496,0.7,2.1,.342,1.4,2.3,.643,.579,0.9,1.1,.813,0.9,2.3,3.2,0.6,0.3,0.4,0.4,1.2,6.0,,2026
336,Kasparas Jakučionis,19,MIA,PG,48,11,17.6,1.9,4.5,.423,1.2,2.9,.418,0.7,1.5,.432,.560,1.0,1.1,.907,0.8,1.8,2.6,2.4,0.6,0.1,0.9,1.9,6.0,,2026
337,Oscar Tshiebwe,26,UTA,C,20,1,14.3,2.6,4.0,.638,0.0,0.0,,2.6,4.0,.638,.638,0.9,1.5,.600,2.5,2.8,5.3,1.1,0.5,0.2,0.5,1.2,6.0,,2026
338,Ryan Dunn,23,PHO,SF,64,14,19.6,2.4,5.3,.450,0.8,2.5,.338,1.5,2.8,.550,.529,0.3,0.7,.476,1.4,2.8,4.2,1.4,0.9,0.4,0.8,2.0,5.9,,2026
339,Tre Mann,24,CHO,PG,48,1,13.5,2.2,6.1,.357,1.0,3.2,.329,1.1,2.9,.388,.443,0.5,0.6,.852,0.4,1.4,1.9,1.8,0.5,0.1,1.1,1.4,5.9,,2026
340,Kris Murray,25,POR,SF,51,15,23.5,2.3,5.0,.461,0.6,2.2,.277,1.7,2.8,.606,.522,0.7,0.9,.708,1.6,2.0,3.6,1.3,0.9,0.4,0.8,1.6,5.9,,2026
341,Nick Richards,28,2TM,C,48,6,14.6,2.1,4.2,.512,0.1,0.4,.278,2.0,3.8,.536,.525,1.4,2.1,.644,1.6,3.5,5.1,0.3,0.2,0.7,1.2,1.8,5.8,,2026
341,Nick Richards,28,PHO,C,28,2,9.1,1.3,2.5,.493,0.0,0.0,,1.3,2.5,.493,.493,0.7,1.0,.679,1.3,2.0,3.3,0.3,0.1,0.5,0.9,1.4,3.2,,2026
341,Nick Richards,28,CHI,C,20,4,22.4,3.4,6.5,.523,0.3,0.9,.278,3.2,5.6,.563,.542,2.3,3.7,.630,2.1,5.5,7.6,0.4,0.3,0.9,1.7,2.5,9.4,,2026
342,Mac McClung,27,2TM,SG,4,0,11.8,2.3,6.3,.360,0.5,3.0,.167,1.8,3.3,.538,.400,0.8,1.0,.750,0.0,1.3,1.3,0.5,1.3,0.5,0.8,2.0,5.8,,2026
